,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,0.0,0.04317083114749719,0.000523747439797644,0.042969501131999176,0.04574304511136277,0.02647535144636523,0.028423312226969432,0.04441983358742683,0.009353140109193653,0.015426772094845111,0.02340895183128257,0.0019651411473386514,0.005120013020958917,0.045557502672826315,0.05651630600689823,0.03939943027168437,0.029994840002027616,0.06614788370808009,0.024127435739940684
C4,0.04317083114749719,0.0,0.059923053947202945,0.05616326856867392,0.08618633702871321,0.05238801033995506,0.052948142510339906,0.07948390318652367,0.040260414778699925,0.05322254260565448,0.03082026188850133,0.027724958705790052,0.05513505165525645,0.05769429246466954,0.06958208701290793,0.02118241798524626,0.06310612083055192,0.0782992759263553,0.060464022291154704
Cz,0.000523747439797644,0.059923053947202945,0.0,0.01462397125179527,0.05527126692785037,0.022970943483814798,0.012703114141923436,0.03926968453874234,0.033008287880525816,0.05978068904558694,0.018648465589342716,0.012580897387914527,0.03272156829922104,0.026893478961091778,0.040118760915333986,0.02885105140502418,0.00414205934371357,0.06799702374519996,0.010233959769868625
F3,0.042969501131999176,0.05616326856867392,0.01462397125179527,0.0,0.024216941806889134,0.01115783141048422,0.0224850488066047,0.0005477107015927317,0.03399270135070776,0.0011515854503052656,0.04626774179009504,0.007883874547860794,0.038350582680601236,0.02715579384221168,0.004885613930911206,0.012464943219458237,0.008877447907463889,0.03206610924236211,0.02816468544644909
F4,0.04574304511136277,0.08618633702871321,0.05527126692785037,0.024216941806889134,0.0,0.004904354560916292,0.022646826135650288,0.03551071904657842,0.049549617700999894,0.017560151641893687,0.019012900271416753,0.08054853413300576,0.06314927660032502,0.0071246394584881185,0.012092293595594654,0.04258076545227808,0.015416619171808588,0.0747497814370274,0.006165969897110595
F7,0.02647535144636523,0.05238801033995506,0.022970943483814798,0.01115783141048422,0.004904354560916292,0.0,0.015191330940522838,0.017130237519290114,0.03331858841374382,0.01936401735422948,0.01048922560264909,0.027937782887889586,0.05355249244228204,0.019085658654915922,0.006155078742537004,0.022573103529150755,0.0007601576484479004,0.054879938945442464,0.02187880353650791
F8,0.028423312226969432,0.052948142510339906,0.012703114141923436,0.0224850488066047,0.022646826135650288,0.015191330940522838,0.0,0.009305850979950374,0.029172960031034135,0.002041788219499256,0.017150433644382672,0.00563942417837245,0.038496908155828895,0.026281371375402353,0.05184936437185491,0.027129390195196217,0.01672546934319382,0.022780287326831686,0.024112145741518976
Fp1,0.04441983358742683,0.07948390318652367,0.03926968453874234,0.0005477107015927317,0.03551071904657842,0.017130237519290114,0.009305850979950374,0.0,0.05269233455952074,0.016267919032270473,0.012540784726087417,0.05047545149418588,0.04767052362883159,0.004400305785305526,0.028037863169341933,0.040348674086573846,0.012728665988766503,0.020257679263267544,0.01254431681413468
Fp2,0.009353140109193653,0.040260414778699925,0.033008287880525816,0.03399270135070776,0.049549617700999894,0.03331858841374382,0.029172960031034135,0.05269233455952074,0.0,0.05606581519649315,0.023002325146160674,0.02376726484282146,0.00720864500747038,0.046255809580469945,0.06676688889457806,0.03831664969645323,0.014369143638057457,0.04636307520972745,0.01349625113780888
Fz,0.015426772094845111,0.05322254260565448,0.05978068904558694,0.0011515854503052656,0.017560151641893687,0.01936401735422948,0.002041788219499256,0.016267919032270473,0.05606581519649315,0.0,0.0058250609212308225,0.035340321200000864,0.046308409087311875,0.005509155165463348,0.007884713706109771,0.034547133330197495,0.010513848351936117,0.057666054972334124,6.287151216210614e-05
