,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,0.0,0.06374007936507936,0.08655753968253968,0.23983134920634921,0.05109126984126984,0.07514880952380952,0.11359126984126984,0.13045634920634921,0.13219246031746032,0.01711309523809524,0.05009920634920635,0.10912698412698413,0.22371031746031747,0.18700396825396826,0.14732142857142858,0.08705357142857142,0.12723214285714285,0.1076388888888889,0.0
C4,0.06374007936507936,0.0,0.029265873015873016,0.07688492063492064,0.022817460317460316,0.08854166666666667,0.08258928571428571,0.044642857142857144,0.06597222222222222,0.07118055555555555,0.10342261904761904,0.03447420634920635,0.13392857142857142,0.10639880952380952,0.08110119047619048,0.08035714285714286,0.10119047619047619,0.0642361111111111,0.001736111111111111
Cz,0.08655753968253968,0.029265873015873016,0.0,0.2152777777777778,0.046875,0.017361111111111112,0.046875,0.021577380952380952,0.07514880952380952,0.053075396825396824,0.056299603174603176,0.06547619047619048,0.10466269841269842,0.1949404761904762,0.02554563492063492,0.047371031746031744,0.07018849206349206,0.10143849206349206,0.08010912698412699
F3,0.23983134920634921,0.07688492063492064,0.2152777777777778,0.0,0.008432539682539682,0.28720238095238093,0.05257936507936508,0.2849702380952381,0.28720238095238093,0.008432539682539682,0.20287698412698413,0.004464285714285714,0.3194444444444444,0.23660714285714285,0.2251984126984127,0.25892857142857145,0.23239087301587302,0.01240079365079365,0.013392857142857142
F4,0.05109126984126984,0.022817460317460316,0.046875,0.008432539682539682,0.0,0.05853174603174603,0.12400793650793651,0.05406746031746032,0.04836309523809524,0.031746031746031744,0.1111111111111111,0.023065476190476192,0.10739087301587301,0.09300595238095238,0.07217261904761904,0.03273809523809524,0.14484126984126985,0.03546626984126984,0.0992063492063492
F7,0.07514880952380952,0.08854166666666667,0.017361111111111112,0.28720238095238093,0.05853174603174603,0.0,0.10540674603174603,0.11036706349206349,0.1341765873015873,0.07118055555555555,0.026537698412698412,0.08705357142857142,0.2490079365079365,0.2286706349206349,0.16517857142857142,0.011160714285714286,0.07936507936507936,0.1259920634920635,0.06448412698412699
F8,0.11359126984126984,0.08258928571428571,0.046875,0.05257936507936508,0.12400793650793651,0.10540674603174603,0.0,0.08804563492063493,0.0689484126984127,0.09623015873015874,0.078125,0.04141865079365079,0.13442460317460317,0.037698412698412696,0.14211309523809523,0.05233134920634921,0.14310515873015872,0.047619047619047616,0.10987103174603174
Fp1,0.13045634920634921,0.044642857142857144,0.021577380952380952,0.2849702380952381,0.05406746031746032,0.11036706349206349,0.08804563492063493,0.0,0.16121031746031747,0.08531746031746032,0.053323412698412696,0.09300595238095238,0.1433531746031746,0.24925595238095238,0.041914682539682536,0.1148313492063492,0.06299603174603174,0.12053571428571429,0.07589285714285714
Fp2,0.13219246031746032,0.06597222222222222,0.07514880952380952,0.28720238095238093,0.04836309523809524,0.1341765873015873,0.0689484126984127,0.16121031746031747,0.0,0.07564484126984126,0.07787698412698413,0.09821428571428571,0.0873015873015873,0.2316468253968254,0.014632936507936508,0.1552579365079365,0.08482142857142858,0.12028769841269842,0.09424603174603174
Fz,0.01711309523809524,0.07118055555555555,0.053075396825396824,0.008432539682539682,0.031746031746031744,0.07118055555555555,0.09623015873015874,0.08531746031746032,0.07564484126984126,0.0,0.01711309523809524,0.012648809523809524,0.030753968253968252,0.02058531746031746,0.015625,0.06671626984126984,0.11086309523809523,0.037698412698412696,0.06870039682539683
O1,0.05009920634920635,0.10342261904761904,0.056299603174603176,0.20287698412698413,0.1111111111111111,0.026537698412698412,0.078125,0.053323412698412696,0.07787698412698413,0.01711309523809524,0.0,0.1701388888888889,0.1974206349206349,0.18328373015873015,0.1416170634920635,0.03249007936507937,0.05828373015873016,0.20709325396825398,0.03571428571428571
O2,0.10912698412698413,0.03447420634920635,0.06547619047619048,0.004464285714285714,0.023065476190476192,0.08705357142857142,0.04141865079365079,0.09300595238095238,0.09821428571428571,0.012648809523809524,0.1701388888888889,0.0,0.17559523809523808,0.1579861111111111,0.1378968253968254,0.08754960317460317,0.15550595238095238,0.03819444444444445,0.004216269841269841
P3,0.22371031746031747,0.13392857142857142,0.10466269841269842,0.3194444444444444,0.10739087301587301,0.2490079365079365,0.13442460317460317,0.1433531746031746,0.0873015873015873,0.030753968253968252,0.1974206349206349,0.17559523809523808,0.0,0.13095238095238096,0.10143849206349206,0.1775793650793651,0.15873015873015872,0.22718253968253968,0.027529761904761904
P4,0.18700396825396826,0.10639880952380952,0.1949404761904762,0.23660714285714285,0.09300595238095238,0.2286706349206349,0.037698412698412696,0.24925595238095238,0.2316468253968254,0.02058531746031746,0.18328373015873015,0.1579861111111111,0.13095238095238096,0.0,0.11904761904761904,0.24950396825396826,0.1922123015873016,0.12152777777777778,0.09449404761904762
Pz,0.14732142857142858,0.08110119047619048,0.02554563492063492,0.2251984126984127,0.07217261904761904,0.16517857142857142,0.14211309523809523,0.041914682539682536,0.014632936507936508,0.015625,0.1416170634920635,0.1378968253968254,0.10143849206349206,0.11904761904761904,0.0,0.10813492063492064,0.05704365079365079,0.13343253968253968,0.011656746031746032
T3,0.08705357142857142,0.08035714285714286,0.047371031746031744,0.25892857142857145,0.03273809523809524,0.011160714285714286,0.05233134920634921,0.1148313492063492,0.1552579365079365,0.06671626984126984,0.03249007936507937,0.08754960317460317,0.1775793650793651,0.24950396825396826,0.10813492063492064,0.0,0.000496031746031746,0.07043650793650794,0.0798611111111111
T4,0.12723214285714285,0.10119047619047619,0.07018849206349206,0.23239087301587302,0.14484126984126985,0.07936507936507936,0.14310515873015872,0.06299603174603174,0.08482142857142858,0.11086309523809523,0.05828373015873016,0.15550595238095238,0.15873015873015872,0.1922123015873016,0.05704365079365079,0.000496031746031746,0.0,0.22098214285714285,0.018105158730158732
T5,0.1076388888888889,0.0642361111111111,0.10143849206349206,0.01240079365079365,0.03546626984126984,0.1259920634920635,0.047619047619047616,0.12053571428571429,0.12028769841269842,0.037698412698412696,0.20709325396825398,0.03819444444444445,0.22718253968253968,0.12152777777777778,0.13343253968253968,0.07043650793650794,0.22098214285714285,0.0,0.010912698412698412
T6,0.0,0.001736111111111111,0.08010912698412699,0.013392857142857142,0.0992063492063492,0.06448412698412699,0.10987103174603174,0.07589285714285714,0.09424603174603174,0.06870039682539683,0.03571428571428571,0.004216269841269841,0.027529761904761904,0.09449404761904762,0.011656746031746032,0.0798611111111111,0.018105158730158732,0.010912698412698412,0.0
