,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,1.0,0.08079356411801615,0.16196128937659365,0.22928247151653833,0.12134395676696491,0.1600388309649126,0.0896523109483193,0.0778111955686897,0.2274086957590367,0.0816342535818293,0.045615691312298826,0.09129585794319324,0.23786293587172838,0.10495264409630012,0.023100937232707938,0.23344544256901484,0.03976144673108185,0.1445097500284765,0.17925338399482188
C4,0.08079356411801615,1.0,0.033805802632483326,0.05984647019618024,0.09763276499781885,0.03945082528540155,0.10706735294899186,0.14259968542325635,0.03222038364882991,0.13249078484627658,0.05521999215875137,0.1333003868192474,0.059911856480581,0.3027068978438942,0.18146524453526847,0.06622824942576669,0.0827720033598249,0.10050499890101253,0.14692285323713455
Cz,0.16196128937659365,0.033805802632483326,1.0,0.12072478089154268,0.04071205265506251,0.14305185578523846,0.04656961705874443,0.08142771914623252,0.15507899812405648,0.5249608124501837,0.25684278275838535,0.2773120638172511,0.043900192981257385,0.10187068303690443,0.04457920729600585,0.07356240723562531,0.13461427609413157,0.16089279919909108,0.29639660714553584
F3,0.22928247151653833,0.05984647019618024,0.12072478089154268,1.0,0.09102647892318476,0.041779309633876834,0.04913828851733021,0.06523420373221901,0.06839633735046158,0.22469291985419654,0.17069442253851178,0.08865306398850231,0.06379299246100341,0.30151262590895644,0.030917549456285123,0.04230732249705873,0.14186644509317184,0.04538308872662839,0.1545275624104288
F4,0.12134395676696491,0.09763276499781885,0.04071205265506251,0.09102647892318476,1.0,0.02433592547565992,0.0622116571167254,0.1762042879280811,0.1807504645280334,0.07649626702559292,0.1501256512137122,0.1506664475328737,0.20628310440895392,0.04231127520643814,0.23590414055853462,0.03807043777194378,0.09589993181391733,0.04197760286940484,0.08108192100667254
F7,0.1600388309649126,0.03945082528540155,0.14305185578523846,0.041779309633876834,0.02433592547565992,1.0,0.02880235052151312,0.15634149356410088,0.1358613947841971,0.04670745944285648,0.037268447815732915,0.024505463682987148,0.08731196582540604,0.04085789336006554,0.054390247290355964,0.12384555597344679,0.05009804977612573,0.044687610387037655,0.030194079152482144
F8,0.0896523109483193,0.10706735294899186,0.04656961705874443,0.04913828851733021,0.0622116571167254,0.02880235052151312,1.0,0.07504330615465557,0.17766606058090864,0.06674247039943107,0.08984969609095007,0.0611609874384747,0.13691178926307335,0.06190760122003365,0.0999394613425579,0.033205687435006064,0.07142885127229068,0.08803524450486401,0.031273759886738875
Fp1,0.0778111955686897,0.14259968542325635,0.08142771914623252,0.06523420373221901,0.1762042879280811,0.15634149356410088,0.07504330615465557,1.0,0.3281880144659903,0.040015937194211856,0.06322115147675983,0.202386803525874,0.07359514191448495,0.06649609068305573,0.6318275829388522,0.1740145996385216,0.02742853476362938,0.07097551846150434,0.10706645422335317
Fp2,0.2274086957590367,0.03222038364882991,0.15507899812405648,0.06839633735046158,0.1807504645280334,0.1358613947841971,0.17766606058090864,0.3281880144659903,1.0,0.07035161376090784,0.07022323023863242,0.05107278519101554,0.23791815858989743,0.07442214740402178,0.1030439239704475,0.10616912104504883,0.049418270687883625,0.09950560032792506,0.06558907855404042
Fz,0.0816342535818293,0.13249078484627658,0.5249608124501837,0.22469291985419654,0.07649626702559292,0.04670745944285648,0.06674247039943107,0.040015937194211856,0.07035161376090784,1.0,0.41591186052633705,0.5322117651182078,0.10166132514726063,0.34289121794201904,0.21363515454149534,0.029057504951465776,0.17285228252335633,0.17066151419740283,0.4965355989815286
O1,0.045615691312298826,0.05521999215875137,0.25684278275838535,0.17069442253851178,0.1501256512137122,0.037268447815732915,0.08984969609095007,0.06322115147675983,0.07022323023863242,0.41591186052633705,1.0,0.4240815777918435,0.2123945905122205,0.14362534273632144,0.20424578734538176,0.027397082094182672,0.3416672252332371,0.07869179327736622,0.2701399659665861
O2,0.09129585794319324,0.1333003868192474,0.2773120638172511,0.08865306398850231,0.1506664475328737,0.024505463682987148,0.0611609874384747,0.202386803525874,0.05107278519101554,0.5322117651182078,0.4240815777918435,1.0,0.04921808305473914,0.285550434710381,0.5174011628879115,0.047352562725362576,0.055412669480862375,0.27186249890148856,0.7158970766601089
P3,0.23786293587172838,0.059911856480581,0.043900192981257385,0.06379299246100341,0.20628310440895392,0.08731196582540604,0.13691178926307335,0.07359514191448495,0.23791815858989743,0.10166132514726063,0.2123945905122205,0.04921808305473914,1.0,0.03242914935969367,0.09393907145360594,0.2425409013316941,0.43101686575526654,0.08296086235403194,0.030315263667232504
P4,0.10495264409630012,0.3027068978438942,0.10187068303690443,0.30151262590895644,0.04231127520643814,0.04085789336006554,0.06190760122003365,0.06649609068305573,0.07442214740402178,0.34289121794201904,0.14362534273632144,0.285550434710381,0.03242914935969367,1.0,0.13071533392435852,0.05649310547967411,0.0275217533502175,0.07356894519097121,0.4094981059251905
Pz,0.023100937232707938,0.18146524453526847,0.04457920729600585,0.030917549456285123,0.23590414055853462,0.054390247290355964,0.0999394613425579,0.6318275829388522,0.1030439239704475,0.21363515454149534,0.20424578734538176,0.5174011628879115,0.09393907145360594,0.13071533392435852,1.0,0.16427467648199942,0.02847681358949225,0.14465080351707882,0.29384078469538244
T3,0.23344544256901484,0.06622824942576669,0.07356240723562531,0.04230732249705873,0.03807043777194378,0.12384555597344679,0.033205687435006064,0.1740145996385216,0.10616912104504883,0.029057504951465776,0.027397082094182672,0.047352562725362576,0.2425409013316941,0.05649310547967411,0.16427467648199942,1.0,0.02417409965633215,0.04833206049921312,0.046124802869958424
T4,0.03976144673108185,0.0827720033598249,0.13461427609413157,0.14186644509317184,0.09589993181391733,0.05009804977612573,0.07142885127229068,0.02742853476362938,0.049418270687883625,0.17285228252335633,0.3416672252332371,0.055412669480862375,0.43101686575526654,0.0275217533502175,0.02847681358949225,0.02417409965633215,1.0,0.05363854661971078,0.02478050586850031
T5,0.1445097500284765,0.10050499890101253,0.16089279919909108,0.04538308872662839,0.04197760286940484,0.044687610387037655,0.08803524450486401,0.07097551846150434,0.09950560032792506,0.17066151419740283,0.07869179327736622,0.27186249890148856,0.08296086235403194,0.07356894519097121,0.14465080351707882,0.04833206049921312,0.05363854661971078,1.0,0.407449025005719
T6,0.17925338399482188,0.14692285323713455,0.29639660714553584,0.1545275624104288,0.08108192100667254,0.030194079152482144,0.031273759886738875,0.10706645422335317,0.06558907855404042,0.4965355989815286,0.2701399659665861,0.7158970766601089,0.030315263667232504,0.4094981059251905,0.29384078469538244,0.046124802869958424,0.02478050586850031,0.407449025005719,1.0
