,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,0.0,0.11120357071347109,0.10501019208801847,0.024036977149293485,0.06237107622297792,0.0351612736123354,0.11167970600925788,0.05949310848592472,0.05388904372101986,0.037622048848782064,0.09043176907778493,0.003543763171035183,0.15412785059879924,0.021470011067296735,0.052559667186035615,0.18848054676835768,0.09238688211662155,0.1704176345657318,0.08989715232478726
C4,0.11120357071347109,0.0,0.0048801401639084665,0.025709828403171955,0.11818468110358019,0.03927295652465249,0.010124566100474425,0.020627657042143987,0.02641652906998418,0.11290470309941328,0.018616439951951787,0.14152763696460435,0.16081850597057787,0.03854872117217254,0.06224591533385569,0.06983237624967135,0.041260769084871814,0.011036766705303552,0.11504406420135616
Cz,0.10501019208801847,0.0048801401639084665,0.0,0.06874606248940258,0.14444849475341645,0.04436387309737931,0.008966565580425318,0.023441412962042097,0.04284647735569519,0.10666509455027286,0.036818415990148526,0.14695287721825007,0.1904737944661017,0.00731868229209808,0.08873059839986527,0.01294366451107267,0.0647679320840021,0.05952467854591863,0.09574723179683495
F3,0.024036977149293485,0.025709828403171955,0.06874606248940258,0.0,0.04333286523680702,0.005302962842873464,0.13069624325702112,0.1265153907436781,0.08956660318873004,0.03598603593181986,0.1189073398245166,0.02305649865198698,0.16031767716669618,0.04902573450588545,0.06511259249550258,0.12033940901580883,0.10191669065738952,0.16896571934038074,0.09980306294196598
F4,0.06237107622297792,0.11818468110358019,0.14444849475341645,0.04333286523680702,0.0,0.030606737608995127,0.09230282615378929,0.07618819604028114,0.08041037885913173,0.09447653977961955,0.10722395756911637,0.16094581940150682,0.11914329961970677,0.02604116469222565,0.09548302602255633,0.18451329904341587,0.13059253784514732,0.1380886054918501,0.1526332299501485
F7,0.0351612736123354,0.03927295652465249,0.04436387309737931,0.005302962842873464,0.030606737608995127,0.0,0.008699513045124938,0.014072020789157737,0.006877542855613631,0.03991546730699521,0.0287317989274398,0.02548753028297872,0.02562831035381904,0.06403731877979288,0.018371834557133968,0.025530316947324175,0.015816738908587615,0.031968961811768365,0.048082470371321795
F8,0.11167970600925788,0.010124566100474425,0.008966565580425318,0.13069624325702112,0.09230282615378929,0.008699513045124938,0.0,0.11220992328311588,0.15372270020695863,0.08549327438401197,0.06891614861735369,0.016276743376676776,0.11548997535620573,0.050621805577560186,0.09758195278203778,0.029317961493950447,0.04929506383459209,0.18866135608425033,0.00592471722995448
Fp1,0.05949310848592472,0.020627657042143987,0.023441412962042097,0.1265153907436781,0.07618819604028114,0.014072020789157737,0.11220992328311588,0.0,0.07349776722637553,0.01215785044387026,0.008503074355865944,0.004217669459674571,0.14848299158127973,0.007362660185236334,0.04826734948471735,0.0925492289867838,0.021648049112152335,0.18114381122207154,0.05506013781665046
Fp2,0.05388904372101986,0.02641652906998418,0.04284647735569519,0.08956660318873004,0.08041037885913173,0.006877542855613631,0.15372270020695863,0.07349776722637553,0.0,0.007029888608114482,0.04818270279170942,0.0003131789741871911,0.1542989577232235,0.014943164194726273,0.011323917175721104,0.11767901399962025,0.051283016449589006,0.18752325359664473,0.06353238999837184
Fz,0.037622048848782064,0.11290470309941328,0.10666509455027286,0.03598603593181986,0.09447653977961955,0.03991546730699521,0.08549327438401197,0.01215785044387026,0.007029888608114482,0.0,0.054183810856267334,0.04928225244363958,0.12158836409501735,0.07151784097940177,0.020881038885684045,0.17868085175358547,0.08013791944544997,0.15703815653460598,0.11467940927591026
