,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,1.0,0.023772002417398217,0.17627308298442604,0.023085923894507435,0.1797386613319151,0.0652495131408795,0.1447135876432446,0.15224972706687345,0.08804492142460245,0.22705736627975456,0.05129004227743597,0.18882376510875312,0.03215576261476822,0.26777922744469923,0.05860699821065079,0.12552254110506328,0.058402304333198984,0.33182884164194804,0.025832250608921237
C4,0.023772002417398217,1.0,0.6942011884735892,0.2020651743144205,0.1150163552408461,0.1380222814924206,0.5000479855937943,0.38191229439324076,0.1814128894974685,0.05481538992152123,0.09089980008346608,0.03436840794495761,0.4792027172360878,0.35914762870818856,0.1688355806943526,0.09166801253403074,0.3373408157958858,0.09669781872549583,0.7069417014826977
Cz,0.17627308298442604,0.6942011884735892,1.0,0.16267749890384273,0.1776789325575613,0.13573615092603958,0.8034711513280289,0.593960575862201,0.2924925811578918,0.04743765139630491,0.034686647425632815,0.050625689257904144,0.4119408283183055,0.6821699429269907,0.12418631333200386,0.033365473468931886,0.1892801125327352,0.36070651739502324,0.7507981195168272
F3,0.023085923894507435,0.2020651743144205,0.16267749890384273,1.0,0.03577287723731058,0.12583977804712435,0.18905021871425154,0.22852896089450755,0.1985395889177973,0.10672359489891303,0.1262453527440691,0.13914853435236227,0.02502565092242336,0.047850515824465374,0.1991701287155159,0.020452724706326166,0.027057089447805913,0.039646919040696185,0.2613242685038772
F4,0.1797386613319151,0.1150163552408461,0.1776789325575613,0.03577287723731058,1.0,0.07995878223850507,0.06076108307930439,0.11924506025589637,0.04386470333663429,0.6740105063991633,0.18249577631204486,0.23531884414978863,0.40326184097956247,0.2812120357043254,0.3368085348931717,0.04043490761392699,0.1458934176546711,0.2490797793513992,0.07180799781835802
F7,0.0652495131408795,0.1380222814924206,0.13573615092603958,0.12583977804712435,0.07995878223850507,1.0,0.23182880523615507,0.4012446641301955,0.35292600244648525,0.062337717247863154,0.15985831637979137,0.15759812598157644,0.024785739479832817,0.024123903246082903,0.12122591563208529,0.11758817906751533,0.052127549137996686,0.2061390433875898,0.18548920771153113
F8,0.1447135876432446,0.5000479855937943,0.8034711513280289,0.18905021871425154,0.06076108307930439,0.23182880523615507,1.0,0.7525415892003008,0.5413178962514831,0.02313476829064669,0.07183067629773464,0.024646393296500323,0.21541977191395387,0.5689793542555203,0.15246675762526812,0.03319330747813153,0.050213984261363254,0.4630408817073928,0.7689739904207011
Fp1,0.15224972706687345,0.38191229439324076,0.593960575862201,0.22852896089450755,0.11924506025589637,0.4012446641301955,0.7525415892003008,1.0,0.6654923627422131,0.04476867233201221,0.1379005362214051,0.061722843600107706,0.13624788983502997,0.3468709712197613,0.09025960115789221,0.0324231077763748,0.0329855359008179,0.4714759185303947,0.60814578985562
Fp2,0.08804492142460245,0.1814128894974685,0.2924925811578918,0.1985395889177973,0.04386470333663429,0.35292600244648525,0.5413178962514831,0.6654923627422131,1.0,0.060662167586332735,0.2520987028186616,0.1845683662213009,0.02934804395636063,0.0965449283444205,0.21545496414865142,0.027572545116228264,0.04869825800749114,0.25372772027985435,0.35232251302987166
Fz,0.22705736627975456,0.05481538992152123,0.04743765139630491,0.10672359489891303,0.6740105063991633,0.062337717247863154,0.02313476829064669,0.04476867233201221,0.060662167586332735,1.0,0.15052178771101762,0.21499167494247115,0.15043052890557737,0.10986976358632053,0.5153475098538693,0.04591599834556684,0.08332738154275629,0.2418309890987959,0.049035626376451
