,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,0.0,0.03273809523809524,0.07093253968253968,0.1001984126984127,0.000248015873015873,0.017857142857142856,0.025297619047619048,0.06274801587301587,0.04563492063492063,0.03670634920634921,0.05927579365079365,0.017857142857142856,0.05853174603174603,0.0726686507936508,0.04290674603174603,0.006944444444444444,0.06597222222222222,0.021081349206349208,0.037698412698412696
C4,0.03273809523809524,0.0,0.008928571428571428,0.054563492063492064,0.037698412698412696,0.033482142857142856,0.06398809523809523,0.005704365079365079,0.056299603174603176,0.047867063492063495,0.05704365079365079,0.042162698412698416,0.011904761904761904,0.02132936507936508,0.02628968253968254,0.031746031746031744,0.028521825396825396,0.011408730158730158,0.020089285714285716
Cz,0.07093253968253968,0.008928571428571428,0.0,0.0992063492063492,0.06597222222222222,0.08978174603174603,0.06746031746031746,0.0726686507936508,0.05704365079365079,0.01240079365079365,0.15649801587301587,0.1505456349206349,0.006944444444444444,0.029265873015873016,0.000496031746031746,0.017609126984126984,0.05009920634920635,0.04538690476190476,0.04365079365079365
F3,0.1001984126984127,0.054563492063492064,0.0992063492063492,0.0,0.00992063492063492,0.15079365079365079,0.047371031746031744,0.03273809523809524,0.12152777777777778,0.030753968253968252,0.07415674603174603,0.17336309523809523,0.06547619047619048,0.1324404761904762,0.07490079365079365,0.04290674603174603,0.04811507936507937,0.026041666666666668,0.12301587301587301
F4,0.000248015873015873,0.037698412698412696,0.06597222222222222,0.00992063492063492,0.0,0.13095238095238096,0.07713293650793651,0.04662698412698413,0.10317460317460317,0.000248015873015873,0.0845734126984127,0.15426587301587302,0.018601190476190476,0.0496031746031746,0.04712301587301587,0.057787698412698416,0.06076388888888889,0.018353174603174604,0.10441468253968254
F7,0.017857142857142856,0.033482142857142856,0.08978174603174603,0.15079365079365079,0.13095238095238096,0.0,0.10168650793650794,0.08308531746031746,0.004464285714285714,0.06746031746031746,0.14732142857142858,0.12425595238095238,0.09275793650793651,0.11780753968253968,0.11011904761904762,0.054811507936507936,0.08432539682539683,0.09970238095238096,0.056299603174603176
F8,0.025297619047619048,0.06398809523809523,0.06746031746031746,0.047371031746031744,0.07713293650793651,0.10168650793650794,0.0,0.016865079365079364,0.08630952380952381,0.03670634920634921,0.03422619047619048,0.09499007936507936,0.048859126984126984,0.07589285714285714,0.06845238095238096,0.06125992063492063,0.013888888888888888,0.06696428571428571,0.08705357142857142
Fp1,0.06274801587301587,0.005704365079365079,0.0726686507936508,0.03273809523809524,0.04662698412698413,0.08308531746031746,0.016865079365079364,0.0,0.07614087301587301,0.046130952380952384,0.00818452380952381,0.09474206349206349,0.07390873015873016,0.08134920634920635,0.06225198412698413,0.008432539682539682,0.034722222222222224,0.018601190476190476,0.05109126984126984
Fp2,0.04563492063492063,0.056299603174603176,0.05704365079365079,0.12152777777777778,0.10317460317460317,0.004464285714285714,0.08630952380952381,0.07614087301587301,0.0,0.08159722222222222,0.12921626984126985,0.04935515873015873,0.046875,0.07390873015873016,0.06076388888888889,0.06398809523809523,0.07589285714285714,0.08010912698412699,0.047619047619047616
Fz,0.03670634920634921,0.047867063492063495,0.01240079365079365,0.030753968253968252,0.000248015873015873,0.06746031746031746,0.03670634920634921,0.046130952380952384,0.08159722222222222,0.0,0.1378968253968254,0.12996031746031747,0.04389880952380952,0.029265873015873016,0.057787698412698416,0.005456349206349206,0.09375,0.028025793650793652,0.04439484126984127
O1,0.05927579365079365,0.05704365079365079,0.15649801587301587,0.07415674603174603,0.0845734126984127,0.14732142857142858,0.03422619047619048,0.00818452380952381,0.12921626984126985,0.1378968253968254,0.0,0.16021825396825398,0.12103174603174603,0.12152777777777778,0.14682539682539683,0.09598214285714286,0.030009920634920636,0.044890873015873016,0.13467261904761904
O2,0.017857142857142856,0.042162698412698416,0.1505456349206349,0.17336309523809523,0.15426587301587302,0.12425595238095238,0.09499007936507936,0.09474206349206349,0.04935515873015873,0.12996031746031747,0.16021825396825398,0.0,0.1349206349206349,0.1572420634920635,0.1498015873015873,0.09573412698412699,0.10987103174603174,0.08308531746031746,0.1619543650793651
P3,0.05853174603174603,0.011904761904761904,0.006944444444444444,0.06547619047619048,0.018601190476190476,0.09275793650793651,0.048859126984126984,0.07390873015873016,0.046875,0.04389880952380952,0.12103174603174603,0.1349206349206349,0.0,0.025049603174603176,0.03149801587301587,0.01066468253968254,0.09697420634920635,0.04861111111111111,0.02628968253968254
P4,0.0726686507936508,0.02132936507936508,0.029265873015873016,0.1324404761904762,0.0496031746031746,0.11780753968253968,0.07589285714285714,0.08134920634920635,0.07390873015873016,0.029265873015873016,0.12152777777777778,0.1572420634920635,0.025049603174603176,0.0,0.025049603174603176,0.019593253968253968,0.0798611111111111,0.023561507936507936,0.07911706349206349
Pz,0.04290674603174603,0.02628968253968254,0.000496031746031746,0.07490079365079365,0.04712301587301587,0.11011904761904762,0.06845238095238096,0.06225198412698413,0.06076388888888889,0.057787698412698416,0.14682539682539683,0.1498015873015873,0.03149801587301587,0.025049603174603176,0.0,0.003472222222222222,0.09176587301587301,0.04092261904761905,0.043154761904761904
T3,0.006944444444444444,0.031746031746031744,0.017609126984126984,0.04290674603174603,0.057787698412698416,0.054811507936507936,0.06125992063492063,0.008432539682539682,0.06398809523809523,0.005456349206349206,0.09598214285714286,0.09573412698412699,0.01066468253968254,0.019593253968253968,0.003472222222222222,0.0,0.021081349206349208,0.0597718253968254,0.021825396825396824
T4,0.06597222222222222,0.028521825396825396,0.05009920634920635,0.04811507936507937,0.06076388888888889,0.08432539682539683,0.013888888888888888,0.034722222222222224,0.07589285714285714,0.09375,0.030009920634920636,0.10987103174603174,0.09697420634920635,0.0798611111111111,0.09176587301587301,0.021081349206349208,0.0,0.005456349206349206,0.05381944444444445
T5,0.021081349206349208,0.011408730158730158,0.04538690476190476,0.026041666666666668,0.018353174603174604,0.09970238095238096,0.06696428571428571,0.018601190476190476,0.08010912698412699,0.028025793650793652,0.044890873015873016,0.08308531746031746,0.04861111111111111,0.023561507936507936,0.04092261904761905,0.0597718253968254,0.005456349206349206,0.0,0.052083333333333336
T6,0.037698412698412696,0.020089285714285716,0.04365079365079365,0.12301587301587301,0.10441468253968254,0.056299603174603176,0.08705357142857142,0.05109126984126984,0.047619047619047616,0.04439484126984127,0.13467261904761904,0.1619543650793651,0.02628968253968254,0.07911706349206349,0.043154761904761904,0.021825396825396824,0.05381944444444445,0.052083333333333336,0.0
