,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,0.0,0.033482142857142856,0.05679563492063492,0.078125,0.01314484126984127,0.016865079365079364,0.03050595238095238,0.04117063492063492,0.049107142857142856,0.010168650793650794,0.03720238095238095,0.03298611111111111,0.034970238095238096,0.0441468253968254,0.027777777777777776,0.056299603174603176,0.07043650793650794,0.0920138888888889,0.0220734126984127
C4,0.033482142857142856,0.0,0.03844246031746032,0.028769841269841268,0.015376984126984126,0.001984126984126984,0.026537698412698412,0.03521825396825397,0.007688492063492063,0.03993055555555555,0.000992063492063492,0.0339781746031746,0.07465277777777778,0.001736111111111111,0.08506944444444445,0.07589285714285714,0.013640873015873016,0.11284722222222222,0.018849206349206348
Cz,0.05679563492063492,0.03844246031746032,0.0,0.036210317460317464,0.040674603174603176,0.027529761904761904,0.03968253968253968,0.03298611111111111,0.00496031746031746,0.035962301587301584,0.017361111111111112,0.026041666666666668,0.1001984126984127,0.00818452380952381,0.07713293650793651,0.02628968253968254,0.029513888888888888,0.0954861111111111,0.000496031746031746
F3,0.078125,0.028769841269841268,0.036210317460317464,0.0,0.05654761904761905,0.0662202380952381,0.018353174603174604,0.04389880952380952,0.05580357142857143,0.010912698412698412,0.05406746031746032,0.10689484126984126,0.07093253968253968,0.06919642857142858,0.007688492063492063,0.036458333333333336,0.039186507936507936,0.03447420634920635,0.015873015873015872
F4,0.01314484126984127,0.015376984126984126,0.040674603174603176,0.05654761904761905,0.0,0.025297619047619048,0.044642857142857144,0.05505952380952381,0.08407738095238096,0.022569444444444444,0.00248015873015873,0.043154761904761904,0.07192460317460317,0.022817460317460316,0.050347222222222224,0.05406746031746032,0.08779761904761904,0.10143849206349206,0.009176587301587302
F7,0.016865079365079364,0.001984126984126984,0.027529761904761904,0.0662202380952381,0.025297619047619048,0.0,0.06374007936507936,0.05431547619047619,0.050595238095238096,0.04365079365079365,0.008680555555555556,0.04513888888888889,0.0744047619047619,0.03149801587301587,0.05109126984126984,0.0716765873015873,0.051835317460317464,0.08283730158730158,0.00496031746031746
F8,0.03050595238095238,0.026537698412698412,0.03968253968253968,0.018353174603174604,0.044642857142857144,0.06374007936507936,0.0,0.060515873015873016,0.06498015873015874,0.004712301587301587,0.048859126984126984,0.057539682539682536,0.0597718253968254,0.021577380952380952,0.05555555555555555,0.030009920634920636,0.028521825396825396,0.012896825396825396,0.08085317460317461
Fp1,0.04117063492063492,0.03521825396825397,0.03298611111111111,0.04389880952380952,0.05505952380952381,0.05431547619047619,0.060515873015873016,0.0,0.05381944444444445,0.04265873015873016,0.057539682539682536,0.017857142857142856,0.044890873015873016,0.027777777777777776,0.05853174603174603,0.023809523809523808,0.05084325396825397,0.08754960317460317,0.03794642857142857
Fp2,0.049107142857142856,0.007688492063492063,0.00496031746031746,0.05580357142857143,0.08407738095238096,0.050595238095238096,0.06498015873015874,0.05381944444444445,0.0,0.03571428571428571,0.002976190476190476,0.034722222222222224,0.05431547619047619,0.015873015873015872,0.051587301587301584,0.06646825396825397,0.06473214285714286,0.11458333333333333,0.003224206349206349
Fz,0.010168650793650794,0.03993055555555555,0.035962301587301584,0.010912698412698412,0.022569444444444444,0.04365079365079365,0.004712301587301587,0.04265873015873016,0.03571428571428571,0.0,0.03571428571428571,0.018105158730158732,0.023313492063492064,0.010168650793650794,0.010912698412698412,0.042162698412698416,0.019593253968253968,0.020089285714285716,0.05431547619047619
