,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,0.0,0.027286881494605245,0.04535198059417219,0.03779042887468224,0.05131818336288769,0.03548617866991638,0.0025647055994991877,0.027736767460351044,0.024832680552879672,0.07447040203445963,0.00587417576103542,0.06218419552313192,0.03828428936810679,0.07719574736378329,0.07761890302848351,0.031652909841378356,0.021151431425344522,0.09251685546091679,0.04015100974510127
C4,0.027286881494605245,0.0,0.07763346432523578,0.07477583111681445,0.06226494709796674,0.03633208761850536,0.02674571490220175,0.033763491252594244,0.00043388254229971703,0.1020288457940509,0.0785694202631828,0.10717172838598707,0.020303788499595358,0.05759504072598523,0.0211059318345548,0.05449559829896135,0.06797441022981743,0.05034004955287054,0.0457336710371726
Cz,0.04535198059417219,0.07763346432523578,0.0,0.06955735288965796,0.007851958589921274,0.038360384547782844,0.027571103617218165,0.07121880060468215,0.05732232438713372,0.08560544166519836,0.012300974512063044,0.07103382267105156,0.0020622868316125635,0.015979229528262303,0.02219638187287535,0.05598060953145795,0.04769317039189743,0.0013050766020722025,0.015819445156054223
F3,0.03779042887468224,0.07477583111681445,0.06955735288965796,0.0,0.011543330432801636,0.06898160751913794,0.07467824844153591,0.0538759949995872,0.06548979951170782,0.0776878522814293,0.011822674956941191,0.056352840248089044,0.017339525231815752,0.0017845065665925482,0.07124242025261378,0.07409910052599727,0.05306622525152553,0.0538643601006958,0.03352178958464041
F4,0.05131818336288769,0.06226494709796674,0.007851958589921274,0.011543330432801636,0.0,0.023110836951741688,0.00607700970641328,0.03140266751023427,0.0003176657987499701,0.04244101081573597,0.03736570135475609,0.023236101490145763,0.018444109737629652,0.018570653975355896,0.03915991590554365,0.03857173213639907,0.015983527102377066,0.009639058605295098,0.02852771389439384
F7,0.03548617866991638,0.03633208761850536,0.038360384547782844,0.06898160751913794,0.023110836951741688,0.0,0.020197642545658884,0.04441111230191415,0.04871596108017274,0.053566438757356415,0.05265028399297275,0.029919891924732423,0.019587002400892606,0.021446174347807195,0.015489742364260395,0.04756848744431617,0.0637470304050516,0.05773213723596362,0.032131253947545485
F8,0.0025647055994991877,0.02674571490220175,0.027571103617218165,0.07467824844153591,0.00607700970641328,0.020197642545658884,0.0,0.049868922536465264,0.052893416687277726,0.012257471409053027,0.07529620190250315,0.03201516506934395,0.04367233699934423,0.0033434463156239496,0.03702044686845541,0.003623582686312702,0.034842872667009056,0.01730526019446369,0.01419518222465418
Fp1,0.027736767460351044,0.033763491252594244,0.07121880060468215,0.0538759949995872,0.03140266751023427,0.04441111230191415,0.049868922536465264,0.0,0.05178510957624095,0.10596065662620982,0.01311054900304887,0.059641340722999224,0.011335698007161343,0.0049606103403491185,0.03546182797497666,0.0691516312690877,0.0515529077561216,0.060916712240744304,0.04180527376392366
Fp2,0.024832680552879672,0.00043388254229971703,0.05732232438713372,0.06548979951170782,0.0003176657987499701,0.04871596108017274,0.052893416687277726,0.05178510957624095,0.0,0.10790698530655213,0.01715165812862155,0.0731508551493596,0.012020835195685598,0.001055502514714315,0.025797596759816424,0.0767441864271913,0.056172285835992077,0.06517438172565061,0.030366894367900802
Fz,0.07447040203445963,0.1020288457940509,0.08560544166519836,0.0776878522814293,0.04244101081573597,0.053566438757356415,0.012257471409053027,0.10596065662620982,0.10790698530655213,0.0,0.017368618092337057,0.013818822419245529,0.004025370187194503,0.03014284349049781,0.022466629394756514,0.006261900907109848,0.022572207676445934,0.08366069645722667,0.057902476246997306
