,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,0.0,0.03872981016600668,0.14206143522226763,0.11053155043823028,0.15914344170458825,0.10939493390021325,0.031049186061772788,0.06166787309880853,0.1354266431771775,0.14841672022254757,0.09086621095443423,0.08136098915042633,0.10445728590913178,0.12434336883549042,0.1406781067512413,0.03386800568494844,0.08508717377157349,0.09886018622425796,0.09883284964308103
C4,0.03872981016600668,0.0,0.0022803048975979373,0.03134494473256881,0.07931967251903123,0.017147761028400276,0.018957449345020645,0.0100820746935184,0.06778229576745746,0.04069602829467136,0.08539935118898516,0.054690243349298416,0.06113954257530284,0.0778014500921866,0.08099267519720495,0.026696696967294962,0.05918119574400667,0.0417312984721421,0.11537484152995021
Cz,0.14206143522226763,0.0022803048975979373,0.0,0.1726583850486729,0.007125013941376259,0.05716972728006046,0.0959069620311432,0.2137024225652062,0.19118246553948795,0.012812594551454046,0.06956233202630534,0.14002945807372494,0.0025911341866902827,0.17061272716043274,0.03485762152279054,0.020304496740542178,0.020183616547797364,0.11071036459074142,0.14331839730955495
F3,0.11053155043823028,0.03134494473256881,0.1726583850486729,0.0,0.16787851932265502,0.15562435254517007,0.13909327507840555,0.10793673948744865,0.0042352514634155895,0.17618051691336506,0.04005722088058073,0.12524136393881122,0.003964771067427093,0.15762846000670963,0.09859856860066955,0.03717788974256584,0.1221656488316145,0.0955952583154322,0.06496333804183935
F4,0.15914344170458825,0.07931967251903123,0.007125013941376259,0.16787851932265502,0.0,0.0776935756412814,0.15491177027021713,0.21678281202328567,0.2094772516786369,0.0672235979967656,0.15874628346638522,0.17570619124382156,0.03081509137528208,0.21303900704042816,0.12830284858485116,0.04727687836032559,0.055964662729447355,0.12184943199484424,0.12367357478452866
F7,0.10939493390021325,0.017147761028400276,0.05716972728006046,0.15562435254517007,0.0776935756412814,0.0,0.06398102475678959,0.15681317196860875,0.1559900719369531,0.08180273649632946,0.10091688940377996,0.12654357384838447,0.003503658708938975,0.11797300682460943,0.12403422916766788,0.0463749049521541,0.06398819913328538,0.09694435226898104,0.14562971626718133
F8,0.031049186061772788,0.018957449345020645,0.0959069620311432,0.13909327507840555,0.15491177027021713,0.06398102475678959,0.0,0.13697713135582223,0.1762195897654401,0.14186827087510398,0.0787425900515464,0.16339340195303237,0.04455998007035677,0.05380356577779278,0.1047553952319464,0.0017087035180918858,0.072105718794312,0.008136185295489814,0.04248584916195785
Fp1,0.06166787309880853,0.0100820746935184,0.2137024225652062,0.10793673948744865,0.21678281202328567,0.15681317196860875,0.13697713135582223,0.0,0.15136674417741516,0.21112953115243246,0.10051783091568571,0.18917286943747774,0.04209233605032984,0.1744923439417034,0.12516502535761811,0.050229762553485935,0.12140733975553775,0.09697984768276212,0.07521162442182194
Fp2,0.1354266431771775,0.06778229576745746,0.19118246553948795,0.0042352514634155895,0.2094772516786369,0.1559900719369531,0.1762195897654401,0.15136674417741516,0.0,0.21287987693130656,0.007851986564479612,0.0843768851686435,0.025922703958158756,0.17547408375509063,0.07494658071374499,0.04619734524487561,0.13324423315488312,0.09089989409925717,0.05088379873221796
Fz,0.14841672022254757,0.04069602829467136,0.012812594551454046,0.17618051691336506,0.0672235979967656,0.08180273649632946,0.14186827087510398,0.21112953115243246,0.21287987693130656,0.0,0.12409584694929998,0.1481833995388309,0.009154052939276623,0.164528926466217,0.11083774631297472,0.04483962025068764,0.08284918961866979,0.12188500339975336,0.14735200931117082
O1,0.09086621095443423,0.08539935118898516,0.06956233202630534,0.04005722088058073,0.15874628346638522,0.10091688940377996,0.0787425900515464,0.10051783091568571,0.007851986564479612,0.12409584694929998,0.0,0.009107098698771507,0.02669882222721938,0.14379259714928147,0.1261416927322084,0.06617087667993914,0.1462671082021768,0.0840103906863912,0.11249535039619508
O2,0.08136098915042633,0.054690243349298416,0.14002945807372494,0.12524136393881122,0.17570619124382156,0.12654357384838447,0.16339340195303237,0.18917286943747774,0.0843768851686435,0.1481833995388309,0.009107098698771507,0.0,0.012479186903653728,0.18497583391585035,0.0926183783802412,0.025980909545867122,0.12189340558484933,0.09036959613722496,0.10267666446604502
P3,0.10445728590913178,0.06113954257530284,0.0025911341866902827,0.003964771067427093,0.03081509137528208,0.003503658708938975,0.04455998007035677,0.04209233605032984,0.025922703958158756,0.009154052939276623,0.02669882222721938,0.012479186903653728,0.0,0.0002384177104038607,0.01938075038250886,0.04785101350147182,0.023027366527527588,0.003252176453654928,0.003783405365681504
P4,0.12434336883549042,0.0778014500921866,0.17061272716043274,0.15762846000670963,0.21303900704042816,0.11797300682460943,0.05380356577779278,0.1744923439417034,0.17547408375509063,0.164528926466217,0.14379259714928147,0.18497583391585035,0.0002384177104038607,0.0,0.09964253008811501,0.0638290261104971,0.03457186420151984,0.015975286051171413,0.0638734603101133
Pz,0.1406781067512413,0.08099267519720495,0.03485762152279054,0.09859856860066955,0.12830284858485116,0.12403422916766788,0.1047553952319464,0.12516502535761811,0.07494658071374499,0.11083774631297472,0.1261416927322084,0.0926183783802412,0.01938075038250886,0.09964253008811501,0.0,0.0022415283349503114,0.08279661947445818,0.0813801312844968,0.03691558465595077
T3,0.03386800568494844,0.026696696967294962,0.020304496740542178,0.03717788974256584,0.04727687836032559,0.0463749049521541,0.0017087035180918858,0.050229762553485935,0.04619734524487561,0.04483962025068764,0.06617087667993914,0.025980909545867122,0.04785101350147182,0.0638290261104971,0.0022415283349503114,0.0,0.025460626811760558,0.03970910450773916,0.05256497485094898
T4,0.08508717377157349,0.05918119574400667,0.020183616547797364,0.1221656488316145,0.055964662729447355,0.06398819913328538,0.072105718794312,0.12140733975553775,0.13324423315488312,0.08284918961866979,0.1462671082021768,0.12189340558484933,0.023027366527527588,0.03457186420151984,0.08279661947445818,0.025460626811760558,0.0,0.06807519194208135,0.058077518130362445
T5,0.09886018622425796,0.0417312984721421,0.11071036459074142,0.0955952583154322,0.12184943199484424,0.09694435226898104,0.008136185295489814,0.09697984768276212,0.09089989409925717,0.12188500339975336,0.0840103906863912,0.09036959613722496,0.003252176453654928,0.015975286051171413,0.0813801312844968,0.03970910450773916,0.06807519194208135,0.0,0.08366052672858353
T6,0.09883284964308103,0.11537484152995021,0.14331839730955495,0.06496333804183935,0.12367357478452866,0.14562971626718133,0.04248584916195785,0.07521162442182194,0.05088379873221796,0.14735200931117082,0.11249535039619508,0.10267666446604502,0.003783405365681504,0.0638734603101133,0.03691558465595077,0.05256497485094898,0.058077518130362445,0.08366052672858353,0.0
