,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,0.0,0.029513888888888888,0.023313492063492064,0.006200396825396825,0.0441468253968254,0.036458333333333336,0.051587301587301584,0.01314484126984127,0.038938492063492064,0.06944444444444445,0.004712301587301587,0.021081349206349208,0.06845238095238096,0.011160714285714286,0.07589285714285714,0.04836309523809524,0.000496031746031746,0.046378968253968256,0.035962301587301584
C4,0.029513888888888888,0.0,0.0662202380952381,0.0726686507936508,0.06770833333333333,0.002232142857142857,0.03844246031746032,0.09722222222222222,0.09623015873015874,0.07514880952380952,0.0798611111111111,0.1029265873015873,0.003224206349206349,0.11160714285714286,0.06671626984126984,0.05530753968253968,0.00744047619047619,0.024057539682539684,0.09523809523809523
Cz,0.023313492063492064,0.0662202380952381,0.0,0.05679563492063492,0.005704365079365079,0.014136904761904762,0.08556547619047619,0.07142857142857142,0.07911706349206349,0.00744047619047619,0.05282738095238095,0.04513888888888889,0.005952380952380952,0.08903769841269842,0.05282738095238095,0.019097222222222224,0.022817460317460316,0.028273809523809524,0.06398809523809523
F3,0.006200396825396825,0.0726686507936508,0.05679563492063492,0.0,0.045882936507936505,0.08878968253968254,0.00818452380952381,0.014632936507936508,0.023809523809523808,0.047619047619047616,0.06597222222222222,0.09325396825396826,0.023313492063492064,0.033234126984126984,0.00992063492063492,0.027281746031746032,0.04141865079365079,0.03521825396825397,0.006200396825396825
F4,0.0441468253968254,0.06770833333333333,0.005704365079365079,0.045882936507936505,0.0,0.001488095238095238,0.05505952380952381,0.08035714285714286,0.06572420634920635,0.004464285714285714,0.04563492063492063,0.043402777777777776,0.013640873015873016,0.08432539682539683,0.031746031746031744,0.043154761904761904,0.03298611111111111,0.007192460317460317,0.026785714285714284
F7,0.036458333333333336,0.002232142857142857,0.014136904761904762,0.08878968253968254,0.001488095238095238,0.0,0.035962301587301584,0.0835813492063492,0.08283730158730158,0.025297619047619048,0.08258928571428571,0.0954861111111111,0.006448412698412698,0.054811507936507936,0.050347222222222224,0.007936507936507936,0.014632936507936508,0.05009920634920635,0.05927579365079365
F8,0.051587301587301584,0.03844246031746032,0.08556547619047619,0.00818452380952381,0.05505952380952381,0.035962301587301584,0.0,0.01314484126984127,0.026041666666666668,0.05654761904761905,0.03447420634920635,0.03720238095238095,0.0220734126984127,0.02703373015873016,0.010168650793650794,0.023065476190476192,0.030009920634920636,0.0339781746031746,0.019097222222222224
Fp1,0.01314484126984127,0.09722222222222222,0.07142857142857142,0.014632936507936508,0.08035714285714286,0.0835813492063492,0.01314484126984127,0.0,0.018105158730158732,0.0726686507936508,0.0679563492063492,0.08754960317460317,0.010168650793650794,0.03670634920634921,0.029513888888888888,0.003968253968253968,0.008928571428571428,0.036458333333333336,0.000744047619047619
Fp2,0.038938492063492064,0.09623015873015874,0.07911706349206349,0.023809523809523808,0.06572420634920635,0.08283730158730158,0.026041666666666668,0.018105158730158732,0.0,0.09250992063492064,0.03943452380952381,0.0662202380952381,0.03546626984126984,0.06101190476190476,0.015376984126984126,0.011904761904761904,0.003472222222222222,0.06225198412698413,0.006696428571428571
Fz,0.06944444444444445,0.07514880952380952,0.00744047619047619,0.047619047619047616,0.004464285714285714,0.025297619047619048,0.05654761904761905,0.0726686507936508,0.09250992063492064,0.0,0.03943452380952381,0.040674603174603176,0.009672619047619048,0.061507936507936505,0.05952380952380952,0.02132936507936508,0.005208333333333333,0.02628968253968254,0.03050595238095238
O1,0.004712301587301587,0.0798611111111111,0.05282738095238095,0.06597222222222222,0.04563492063492063,0.08258928571428571,0.03447420634920635,0.0679563492063492,0.03943452380952381,0.03943452380952381,0.0,0.002728174603174603,0.008928571428571428,0.0679563492063492,0.035962301587301584,0.03422619047619048,0.025793650793650792,0.038938492063492064,0.04017857142857143
O2,0.021081349206349208,0.1029265873015873,0.04513888888888889,0.09325396825396826,0.043402777777777776,0.0954861111111111,0.03720238095238095,0.08754960317460317,0.0662202380952381,0.040674603174603176,0.002728174603174603,0.0,0.006696428571428571,0.1324404761904762,0.017609126984126984,0.021577380952380952,0.02554563492063492,0.06870039682539683,0.09275793650793651
P3,0.06845238095238096,0.003224206349206349,0.005952380952380952,0.023313492063492064,0.013640873015873016,0.006448412698412698,0.0220734126984127,0.010168650793650794,0.03546626984126984,0.009672619047619048,0.008928571428571428,0.006696428571428571,0.0,0.006944444444444444,0.00248015873015873,0.03943452380952381,0.056299603174603176,0.007688492063492063,0.008928571428571428
P4,0.011160714285714286,0.11160714285714286,0.08903769841269842,0.033234126984126984,0.08432539682539683,0.054811507936507936,0.02703373015873016,0.03670634920634921,0.06101190476190476,0.061507936507936505,0.0679563492063492,0.1324404761904762,0.006944444444444444,0.0,0.025297619047619048,0.016617063492063492,0.006200396825396825,0.02132936507936508,0.10317460317460317
Pz,0.07589285714285714,0.06671626984126984,0.05282738095238095,0.00992063492063492,0.031746031746031744,0.050347222222222224,0.010168650793650794,0.029513888888888888,0.015376984126984126,0.05952380952380952,0.035962301587301584,0.017609126984126984,0.00248015873015873,0.025297619047619048,0.0,0.005952380952380952,0.020833333333333332,0.03794642857142857,0.004216269841269841
T3,0.04836309523809524,0.05530753968253968,0.019097222222222224,0.027281746031746032,0.043154761904761904,0.007936507936507936,0.023065476190476192,0.003968253968253968,0.011904761904761904,0.02132936507936508,0.03422619047619048,0.021577380952380952,0.03943452380952381,0.016617063492063492,0.005952380952380952,0.0,0.028025793650793652,0.026537698412698412,0.015376984126984126
T4,0.000496031746031746,0.00744047619047619,0.022817460317460316,0.04141865079365079,0.03298611111111111,0.014632936507936508,0.030009920634920636,0.008928571428571428,0.003472222222222222,0.005208333333333333,0.025793650793650792,0.02554563492063492,0.056299603174603176,0.006200396825396825,0.020833333333333332,0.028025793650793652,0.0,0.009672619047619048,0.00744047619047619
T5,0.046378968253968256,0.024057539682539684,0.028273809523809524,0.03521825396825397,0.007192460317460317,0.05009920634920635,0.0339781746031746,0.036458333333333336,0.06225198412698413,0.02628968253968254,0.038938492063492064,0.06870039682539683,0.007688492063492063,0.02132936507936508,0.03794642857142857,0.026537698412698412,0.009672619047619048,0.0,0.009672619047619048
T6,0.035962301587301584,0.09523809523809523,0.06398809523809523,0.006200396825396825,0.026785714285714284,0.05927579365079365,0.019097222222222224,0.000744047619047619,0.006696428571428571,0.03050595238095238,0.04017857142857143,0.09275793650793651,0.008928571428571428,0.10317460317460317,0.004216269841269841,0.015376984126984126,0.00744047619047619,0.009672619047619048,0.0
