,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,1.0,0.040784033900136914,0.12730166062123538,0.06702944531693049,0.09615579400604594,0.2575563378003593,0.11861767601308669,0.16230974011340804,0.3552822233131872,0.28265641815211506,0.36472566315568056,0.5718074099338207,0.37338909972791506,0.07142368398457666,0.2466549105496762,0.3055462014834727,0.2561934182256487,0.08683944541598454,0.37023588004463703
C4,0.040784033900136914,1.0,0.6829609429418022,0.6580389561787597,0.0707888412138667,0.13836497215766413,0.4815134688602578,0.4647579850984893,0.2946015462474665,0.15825334756052717,0.07515441513678112,0.08457611928867913,0.1993883625054755,0.6855964187844937,0.04119951892142244,0.24644256547443355,0.3606538392946677,0.3488621767680141,0.05869858394196989
Cz,0.12730166062123538,0.6829609429418022,1.0,0.5216667660346912,0.12703133362511315,0.0807206628667469,0.48765703598420035,0.5737972358393032,0.43510275264163606,0.2939102640577975,0.10467558869465263,0.04643755713435816,0.37768152207143074,0.6533676724737735,0.06118246017180026,0.32068441654474505,0.42656278082558713,0.35334300206144903,0.08205064486648933
F3,0.06702944531693049,0.6580389561787597,0.5216667660346912,1.0,0.1828663650131168,0.20362854472671943,0.40632150298388164,0.4712017590781302,0.28508814668288424,0.038923530777963095,0.15442573149514807,0.27082064847548504,0.26242399155832086,0.6855263861586999,0.04709758627757011,0.09274614682457116,0.10382355215839731,0.42672791819177003,0.17374480413615778
F4,0.09615579400604594,0.0707888412138667,0.12703133362511315,0.1828663650131168,1.0,0.04951147194724946,0.17368676719571377,0.21827030730568742,0.2993062611618347,0.11713590507415675,0.171448254582181,0.09299029767175872,0.34223233754172094,0.2597733185292381,0.08563957527836186,0.05393083057384666,0.06372088202653722,0.11718755944141344,0.11617566633386904
F7,0.2575563378003593,0.13836497215766413,0.0807206628667469,0.20362854472671943,0.04951147194724946,1.0,0.06970780392038567,0.04960804442785308,0.07964759222162385,0.07112427879403374,0.17686885961170962,0.3353098390058008,0.0632782210078187,0.06484160490609137,0.07184932945002193,0.15096113589399457,0.04596844112356525,0.3010798746928806,0.10127484277492986
F8,0.11861767601308669,0.4815134688602578,0.48765703598420035,0.40632150298388164,0.17368676719571377,0.06970780392038567,1.0,0.4891374380451363,0.5649422645674707,0.1236463116363329,0.0798294394540548,0.0655883776031171,0.396192316170576,0.5598729278998678,0.06373103207137872,0.1963845839611606,0.1893774606297774,0.27007518092143734,0.06569338059033063
Fp1,0.16230974011340804,0.4647579850984893,0.5737972358393032,0.4712017590781302,0.21827030730568742,0.04960804442785308,0.4891374380451363,1.0,0.6437950423435072,0.1493079925633652,0.11855054076766122,0.04874108307656224,0.5408634086114504,0.652842412630388,0.06670616229237057,0.2938706567800873,0.23384198041404208,0.2056454131974863,0.04609624607735843
Fp2,0.3552822233131872,0.2946015462474665,0.43510275264163606,0.28508814668288424,0.2993062611618347,0.07964759222162385,0.5649422645674707,0.6437950423435072,1.0,0.16202406563685257,0.1494274430620368,0.10248778029366248,0.7369355825910537,0.6086668825311466,0.1456922756476747,0.38419301102216297,0.2675827705873311,0.12669216521569607,0.05624931054359209
Fz,0.28265641815211506,0.15825334756052717,0.2939102640577975,0.038923530777963095,0.11713590507415675,0.07112427879403374,0.1236463116363329,0.1493079925633652,0.16202406563685257,1.0,0.5274164956540577,0.395478475626339,0.13279053804753996,0.1026265149123135,0.4091951516935893,0.5067499137717522,0.6572359712564099,0.04033120678586277,0.4507679180406929
O1,0.36472566315568056,0.07515441513678112,0.10467558869465263,0.15442573149514807,0.171448254582181,0.17686885961170962,0.0798294394540548,0.11855054076766122,0.1494274430620368,0.5274164956540577,1.0,0.6667985236086466,0.13557262991503002,0.07981691299421861,0.26982826799803916,0.4068031511063128,0.5473815644276284,0.16332260029773832,0.42374808525925195
O2,0.5718074099338207,0.08457611928867913,0.04643755713435816,0.27082064847548504,0.09299029767175872,0.3353098390058008,0.0655883776031171,0.04874108307656224,0.10248778029366248,0.395478475626339,0.6667985236086466,1.0,0.11143274547911787,0.06796481731036025,0.2897160996841859,0.29981114784034624,0.29025054821458607,0.24592739032041921,0.6259563373063757
P3,0.37338909972791506,0.1993883625054755,0.37768152207143074,0.26242399155832086,0.34223233754172094,0.0632782210078187,0.396192316170576,0.5408634086114504,0.7369355825910537,0.13279053804753996,0.13557262991503002,0.11143274547911787,1.0,0.5576563828617278,0.12871171440998663,0.3289771150724972,0.2207780371002788,0.14172192537175013,0.06383603807665336
P4,0.07142368398457666,0.6855964187844937,0.6533676724737735,0.6855263861586999,0.2597733185292381,0.06484160490609137,0.5598729278998678,0.652842412630388,0.6086668825311466,0.1026265149123135,0.07981691299421861,0.06796481731036025,0.5576563828617278,1.0,0.06354554322730467,0.3192305333251241,0.30351904981398903,0.2928649736912392,0.07926106097035829
Pz,0.2466549105496762,0.04119951892142244,0.06118246017180026,0.04709758627757011,0.08563957527836186,0.07184932945002193,0.06373103207137872,0.06670616229237057,0.1456922756476747,0.4091951516935893,0.26982826799803916,0.2897160996841859,0.12871171440998663,0.06354554322730467,1.0,0.30435009333268254,0.357925590380765,0.0599190901708418,0.2255434369239875
T3,0.3055462014834727,0.24644256547443355,0.32068441654474505,0.09274614682457116,0.05393083057384666,0.15096113589399457,0.1963845839611606,0.2938706567800873,0.38419301102216297,0.5067499137717522,0.4068031511063128,0.29981114784034624,0.3289771150724972,0.3192305333251241,0.30435009333268254,1.0,0.6878594586306283,0.03526561430935991,0.13737529898981554
T4,0.2561934182256487,0.3606538392946677,0.42656278082558713,0.10382355215839731,0.06372088202653722,0.04596844112356525,0.1893774606297774,0.23384198041404208,0.2675827705873311,0.6572359712564099,0.5473815644276284,0.29025054821458607,0.2207780371002788,0.30351904981398903,0.357925590380765,0.6878594586306283,1.0,0.0410835755644985,0.2178622830904206
T5,0.08683944541598454,0.3488621767680141,0.35334300206144903,0.42672791819177003,0.11718755944141344,0.3010798746928806,0.27007518092143734,0.2056454131974863,0.12669216521569607,0.04033120678586277,0.16332260029773832,0.24592739032041921,0.14172192537175013,0.2928649736912392,0.0599190901708418,0.03526561430935991,0.0410835755644985,1.0,0.06857066295639186
T6,0.37023588004463703,0.05869858394196989,0.08205064486648933,0.17374480413615778,0.11617566633386904,0.10127484277492986,0.06569338059033063,0.04609624607735843,0.05624931054359209,0.4507679180406929,0.42374808525925195,0.6259563373063757,0.06383603807665336,0.07926106097035829,0.2255434369239875,0.13737529898981554,0.2178622830904206,0.06857066295639186,1.0
