,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
C3,1.0,0.056127141643744015,0.2848807639886777,0.05461089134857204,0.10597541155381303,0.07917872696186651,0.2341420944700961,0.5836092752705888,0.18650452205329515,0.23439813576375557,0.0721135132528014,0.12577474902107455,0.2177232788484765,0.13739794666686797,0.1303845957900286,0.19248936630729174,0.10590167181564615,0.1414884904124793,0.0966163258386385
C4,0.056127141643744015,1.0,0.3090622781779567,0.5985637604855754,0.5012374220231941,0.551864217536815,0.3250649016513396,0.05386170551820031,0.288942887758912,0.2602775161805146,0.28323682403701894,0.5740900387858177,0.480656292376867,0.5839708831929125,0.6309419864222543,0.3524134307832858,0.13031195421431108,0.29443411770225403,0.651062603514869
Cz,0.2848807639886777,0.3090622781779567,1.0,0.6734086771634434,0.3197032765468174,0.6219509216653301,0.05876766995946311,0.35212907731962667,0.6201686579936706,0.8680820540433649,0.28396079065608953,0.12263512097617824,0.7742393129839896,0.8312650110253574,0.6894449553933913,0.12490560833905501,0.09614227516910291,0.10244253784904087,0.2923568302428956
F3,0.05461089134857204,0.5985637604855754,0.6734086771634434,1.0,0.6710201519801966,0.6687038679050562,0.2884051352882002,0.11375411637792825,0.39551391809197156,0.6878269624576686,0.5881070738139453,0.27729475919421176,0.826080862355642,0.8902165646784767,0.8861567080100983,0.34755846648879873,0.04968586343931441,0.31166489131375136,0.5551548295146459
F4,0.10597541155381303,0.5012374220231941,0.3197032765468174,0.6710201519801966,1.0,0.5786864601250069,0.6837649564884164,0.08767559112695741,0.15565769068872604,0.3687608301532495,0.750469325763183,0.44562515480969783,0.5789220776098853,0.5579914759572953,0.706537291863247,0.682387940828659,0.06176030067191182,0.6186807784321171,0.7274928401732476
F7,0.07917872696186651,0.551864217536815,0.6219509216653301,0.6687038679050562,0.5786864601250069,1.0,0.19368946677306548,0.0480453530904421,0.5065571136801729,0.5041380492652006,0.36420485761033783,0.5097731613425154,0.6198086847565688,0.7309198209724553,0.713302369039644,0.4091286456167592,0.062097069502946634,0.3019959691938141,0.6889490018214496
F8,0.2341420944700961,0.3250649016513396,0.05876766995946311,0.2884051352882002,0.6837649564884164,0.19368946677306548,1.0,0.19300433316827828,0.05363137817533527,0.08278570244483295,0.5975454101121498,0.3441604065527964,0.21149856426208416,0.1658255140591709,0.3138377201618043,0.6223544122814568,0.06400841172531925,0.6506154262894875,0.5032661371366078
Fp1,0.5836092752705888,0.05386170551820031,0.35212907731962667,0.11375411637792825,0.08767559112695741,0.0480453530904421,0.19300433316827828,1.0,0.15625157703390943,0.339978281655556,0.05248496209821646,0.1843866651916813,0.22917631786902048,0.1853864449637612,0.13259585671519608,0.2037137450874686,0.25056463869661927,0.13127697670300142,0.09694349581874732
Fp2,0.18650452205329515,0.288942887758912,0.6201686579936706,0.39551391809197156,0.15565769068872604,0.5065571136801729,0.05363137817533527,0.15625157703390943,1.0,0.4453460835379092,0.07055243761308035,0.19474185883684528,0.40623122649361026,0.519814012684743,0.3862084285570497,0.07040775695631382,0.032744179574607866,0.04303962808520961,0.25226065652699614
Fz,0.23439813576375557,0.2602775161805146,0.8680820540433649,0.6878269624576686,0.3687608301532495,0.5041380492652006,0.08278570244483295,0.339978281655556,0.4453460835379092,1.0,0.37962656978093945,0.07820378289166192,0.7793898489189716,0.7612768218846845,0.680272924845622,0.13668280146142014,0.1783750346305214,0.12125580446651263,0.23229567097678783
