Participant_id,Trial,Experiment_id,Start_time,Valence,Arousal,Dominance,Liking,Familiarity
1,2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,9,13,8960934,1.95,3.12,2.87,6.18,1.0
1,10,33,9816492,3.81,3.85,4.78,5.13,1.0
1,20,27,18394413,7.35,6.95,7.03,7.29,4.0
1,21,11,21438533,2.99,2.36,3.63,6.24,1.0
1,22,30,22211440,2.08,2.99,3.22,7.33,2.0
1,23,29,23070480,1.36,2.27,3.0,8.14,2.0
1,24,1,23886202,7.71,7.6,6.9,7.83,5.0
1,27,12,26324041,2.71,2.77,3.4,7.35,1.0
1,28,16,27096611,6.81,7.44,8.15,7.14,3.0
1,29,25,27849356,8.86,7.21,8.65,7.21,2.0
1,30,28,28631424,3.88,3.35,4.01,7.87,1.0
1,32,3,30256705,8.58,7.54,9.0,7.08,5.0
1,35,19,32609406,7.17,8.0,8.1,6.79,4.0
1,36,2,33358152,8.1,7.31,7.28,8.47,2.0
1,37,21,34106731,9.0,7.95,8.37,7.86,2.0
1,40,26,36420779,7.28,7.27,7.41,8.24,3.0
2,3,35,10907105,1.99,2.0,1.0,1.0,
2,9,24,15891248,7.08,9.0,6.06,9.0,
2,11,20,17534354,8.97,9.0,8.03,9.0,
2,12,12,18328085,8.01,6.06,7.12,9.0,
2,17,26,22268579,9.0,8.04,9.0,9.0,
2,18,18,23070306,9.0,6.15,9.0,8.08,
2,19,8,26149925,9.0,9.0,9.0,9.0,
2,20,2,26906168,8.01,7.1,8.04,8.08,
2,23,19,29525945,9.0,8.32,8.06,6.99,
2,24,14,30468625,8.94,9.0,8.97,9.0,
2,25,23,31228534,1.0,2.97,1.0,7.82,
2,27,25,32765179,9.0,9.0,8.1,9.0,
2,28,39,33568406,1.0,1.0,2.97,1.0,
2,29,40,34353639,6.05,6.67,6.94,6.53,
2,30,9,35133041,9.0,7.0,9.0,7.18,
2,31,21,35891446,1.0,1.0,5.04,1.0,
2,35,15,39004893,9.0,8.01,8.06,9.0,
2,37,3,40549701,9.0,9.0,8.96,8.05,
3,3,25,5184233,3.45,1.41,2.9,6.87,4.0
3,21,30,24625116,3.87,3.09,2.72,6.12,2.0
3,37,23,37355956,3.65,2.5,3.03,5.92,1.0
3,39,24,38912260,3.31,2.27,1.91,6.78,5.0
4,1,20,2644761,8.17,8.05,6.08,9.0,2.0
4,2,30,3488640,3.1,3.08,3.06,7.05,3.0
4,3,11,4328854,7.24,7.08,6.08,7.01,1.0
4,5,10,5903810,3.15,3.99,4.12,4.04,1.0
4,6,7,6675555,2.94,1.99,2.92,2.1,1.0
4,9,39,9127053,1.92,2.96,1.82,2.01,1.0
4,10,25,9948939,7.0,6.04,5.01,6.08,1.0
4,11,23,10702349,1.86,2.04,1.0,5.99,1.0
4,15,17,13749318,7.01,5.95,6.04,7.03,1.0
4,16,14,14503221,6.96,6.97,5.23,6.21,2.0
4,17,40,15250800,1.86,2.91,1.88,3.0,1.0
4,18,3,16030367,8.95,8.1,5.85,8.12,1.0
4,19,15,16786274,6.96,7.05,3.28,6.97,1.0
4,20,21,17542519,1.77,2.06,3.73,2.26,1.0
4,21,34,18369904,2.17,2.18,3.46,1.92,1.0
4,22,38,19116316,1.79,1.85,1.78,1.99,1.0
4,23,37,19866888,1.0,1.0,1.0,1.0,1.0
4,24,36,20641969,2.72,2.76,1.99,2.33,1.0
4,26,27,22198433,6.14,6.13,4.92,7.08,2.0
4,30,35,25301709,2.03,2.88,1.06,3.37,1.0
4,31,31,26068114,2.01,2.23,1.0,1.94,1.0
4,33,19,27598260,7.09,6.22,5.92,6.21,1.0
4,36,33,29866321,1.0,1.97,3.67,1.95,1.0
4,37,16,30639390,2.51,2.95,1.08,3.03,1.0
4,38,22,31405963,1.86,2.78,4.97,3.92,1.0
5,1,40,6890645,7.0,6.96,8.0,2.92,2.0
5,7,11,12016896,9.0,6.0,6.03,7.1,2.0
5,8,2,12841449,9.0,9.0,7.97,9.0,1.0
5,12,38,16128826,1.0,3.91,6.13,1.04,1.0
5,17,31,20315564,6.9,6.04,7.95,4.05,3.0
5,20,34,22708748,6.03,6.97,8.1,6.0,1.0
5,29,15,31986916,6.97,6.05,1.0,7.99,3.0
5,35,22,36755456,6.99,7.95,1.99,8.97,2.0
5,37,8,38387732,8.17,5.91,4.04,7.04,1.0
5,38,6,39169799,8.09,7.08,4.94,7.14,1.0
6,1,31,4863503,3.65,3.49,4.05,6.36,1.0
6,2,5,5941302,7.01,7.38,6.55,7.36,5.0
6,7,18,10445101,7.59,5.81,6.14,6.37,5.0
6,8,7,11258984,8.26,8.27,7.28,8.0,5.0
6,17,36,18938703,5.71,6.21,8.49,7.46,1.0
6,21,39,22761399,6.56,6.5,7.53,7.4,1.0
6,23,2,24331697,6.83,6.62,7.08,5.96,2.0
6,28,23,28469451,3.47,3.54,3.59,4.55,1.0
6,29,19,29268346,7.41,5.6,6.67,6.91,5.0
6,30,3,30120389,7.69,5.99,6.87,6.49,5.0
6,31,25,30941109,7.09,6.42,3.49,6.36,3.0
6,32,4,31727674,7.55,6.79,7.56,7.05,5.0
7,10,6,11880109,6.97,6.04,3.0,7.03,1.0
7,12,25,13523215,2.99,3.03,1.99,7.1,3.0
7,15,8,15972046,7.0,5.99,7.04,7.06,5.0
7,16,22,16773759,3.05,2.03,1.0,6.94,5.0
7,19,2,19170787,7.15,5.96,3.96,6.91,1.0
7,20,39,19988343,7.01,7.01,7.05,7.08,1.0
7,21,19,22129279,6.99,6.04,6.03,7.0,5.0
7,22,7,22925837,7.08,7.06,7.06,7.03,5.0
7,23,20,23710573,8.06,6.06,2.05,7.14,5.0
7,24,10,24542456,7.09,7.04,8.06,7.09,5.0
7,25,31,25332520,6.96,7.03,5.03,7.05,5.0
7,27,40,26877992,7.01,7.03,6.03,7.05,1.0
7,29,23,28459061,3.01,3.04,5.03,6.96,5.0
7,34,5,32565052,7.05,6.99,6.04,8.05,5.0
7,35,11,33357781,7.03,7.09,2.97,8.06,2.0
7,38,36,35822107,8.1,9.0,7.0,7.01,5.0
7,39,28,36608506,2.05,2.0,3.01,6.95,2.0
8,3,9,3981471,8.78,7.24,6.35,8.22,3.0
8,4,32,4785530,6.33,8.23,8.23,8.83,5.0
8,5,30,5600918,1.4,3.13,1.21,7.95,4.0
8,8,23,8013262,3.59,3.68,3.44,6.6,2.0
8,9,4,8839473,6.82,8.23,5.0,8.12,1.0
8,10,8,9619047,8.82,6.4,6.31,8.53,5.0
8,20,29,17519686,2.78,2.99,3.62,7.15,4.0
8,22,1,19820234,7.6,6.78,7.86,7.47,1.0
8,31,6,27123240,7.4,7.26,5.94,7.04,3.0
8,35,12,30334315,8.47,6.54,4.01,8.19,1.0
8,39,25,33462415,3.72,3.9,3.5,7.71,3.0
8,40,3,34230817,8.15,6.96,7.33,7.96,1.0
9,4,10,5566262,3.94,3.96,3.99,3.96,2.0
9,5,14,6406642,7.0,6.13,7.12,7.04,5.0
9,7,4,8076571,5.99,5.97,5.03,6.09,1.0
9,14,11,13772460,7.12,7.1,7.14,7.0,1.0
9,15,17,14564690,6.03,6.04,5.03,6.06,1.0
9,18,6,16924884,7.04,6.19,6.13,7.08,4.0
9,20,12,18524005,7.08,6.99,7.09,6.13,1.0
9,27,3,28090907,7.08,7.14,7.09,7.06,4.0
9,28,31,28866476,6.06,6.06,5.03,6.05,1.0
9,32,2,32042725,7.08,6.14,5.0,7.03,2.0
9,35,13,34378095,8.15,7.04,8.17,8.08,2.0
9,36,15,35157496,6.21,6.01,4.99,6.06,2.0
10,1,11,3567112,8.99,7.14,7.09,9.0,4.0
10,4,32,6035436,5.96,7.47,9.0,6.44,2.0
10,7,7,8465604,8.96,7.58,4.95,7.09,1.0
10,18,9,17351572,7.56,6.21,7.59,7.27,5.0
10,27,4,25995454,7.01,5.91,6.01,6.86,4.0
10,28,10,26775021,5.94,6.0,6.14,6.23,3.0
10,29,16,27548757,3.85,2.83,2.99,4.09,1.0
10,32,29,29875962,3.94,2.97,5.04,5.47,4.0
10,34,6,31477420,7.1,6.0,6.82,6.85,1.0
10,35,1,32247320,7.91,6.15,6.67,7.63,4.0
10,36,5,33018889,7.24,6.23,8.13,7.9,5.0
10,37,40,33781962,5.78,6.15,7.04,6.44,1.0
11,6,29,7634557,2.32,2.83,2.4,1.55,2.0
11,14,24,15204807,2.88,1.06,6.44,1.33,2.0
11,16,33,17057341,5.64,6.36,5.86,1.24,1.0
11,17,8,17965698,6.26,6.14,7.54,6.1,1.0
11,19,4,19761252,7.65,6.53,8.27,7.06,1.0
11,28,31,29887797,1.83,3.78,2.33,5.01,1.0
11,30,23,31807475,3.72,2.73,6.35,6.95,2.0
11,36,9,37436552,7.04,6.42,8.31,8.32,5.0
11,37,21,38318254,3.27,2.41,1.58,6.31,2.0
11,38,5,39238606,7.41,6.4,7.55,6.68,5.0
12,2,12,3435655,6.86,6.9,4.88,6.04,4.0
12,4,40,5147404,6.81,8.72,6.94,7.08,3.0
12,7,22,7656710,3.33,3.17,3.33,5.19,4.0
12,11,3,11029395,7.33,7.33,7.12,7.92,4.0
12,12,20,11821625,7.35,6.91,7.94,9.0,5.0
12,13,4,12642178,6.86,9.0,6.15,6.22,2.0
12,20,23,18279253,1.74,3.15,2.01,2.09,2.0
12,21,13,19857714,7.99,6.91,8.01,7.95,3.0
12,22,15,20631284,7.08,5.95,6.19,6.29,1.0
12,23,2,21396527,6.09,7.14,5.24,6.15,1.0
12,27,1,24649579,7.09,7.1,7.24,6.82,3.0
12,29,6,26211212,6.65,7.08,6.09,6.03,1.0
12,30,19,26988947,7.03,6.88,6.21,6.94,3.0
12,31,7,27748188,6.77,7.01,6.64,6.97,3.0
12,36,9,31749988,7.95,8.74,8.03,7.79,4.0
13,2,19,3999131,8.51,5.97,6.01,8.51,5.0
13,4,11,5766694,7.04,6.06,4.04,7.05,3.0
13,7,20,8357976,7.6,6.06,4.99,7.03,3.0
13,16,1,15852420,6.15,8.09,5.01,6.08,4.0
13,25,28,26908312,7.08,8.01,4.03,7.1,3.0
13,27,3,28534591,9.0,7.06,5.09,6.96,5.0
13,29,13,30139210,9.0,7.06,4.06,9.0,2.0
13,31,9,31747661,7.06,6.99,6.04,7.08,4.0
13,34,8,34170334,7.99,7.03,7.03,8.12,5.0
13,36,18,35767951,7.94,5.99,3.03,7.06,5.0
13,37,4,36577679,7.08,7.01,6.05,7.01,4.0
14,3,28,4208059,2.53,2.96,2.1,6.0,1.0
14,5,2,6089917,6.05,7.9,5.06,5.01,2.0
14,8,8,8735847,7.0,6.21,7.18,7.96,4.0
14,11,1,11497572,8.22,7.78,4.0,7.42,4.0
14,12,20,12373273,7.33,6.63,3.27,4.65,1.0
14,14,9,14240969,7.69,7.44,8.42,8.92,5.0
14,15,4,15107007,7.38,6.72,6.18,6.94,4.0
14,16,39,15980042,6.65,7.06,7.78,2.78,1.0
14,18,40,17790758,6.68,6.86,6.0,5.23,1.0
14,22,3,22799545,7.5,6.68,7.14,7.58,5.0
14,23,6,23678915,7.19,6.83,6.55,7.67,3.0
14,24,19,24603267,7.55,5.92,6.06,5.23,4.0
14,29,26,28973442,3.28,2.32,4.0,6.77,1.0
14,34,16,33511228,3.96,2.35,3.65,4.51,1.0
14,37,25,36282116,3.87,3.09,3.06,6.36,1.0
14,40,7,38964534,6.85,5.53,6.18,7.62,4.0
15,3,1,4028287,8.9,5.86,7.26,8.04,
15,33,21,30385458,3.09,3.14,3.13,4.1,
15,35,5,31972250,9.0,7.15,9.0,9.0,
16,3,5,3903655,5.51,7.9,9.0,8.14,5.0
16,8,23,8285836,3.9,3.83,2.77,3.54,1.0
16,10,4,9948935,7.09,5.67,2.53,5.65,4.0
16,11,39,10910441,6.13,5.97,8.49,6.0,1.0
16,14,40,13492560,3.74,3.77,4.05,6.19,1.0
16,15,35,14317445,1.0,3.71,4.22,1.82,1.0
16,17,3,16018532,6.74,5.83,6.37,6.83,5.0
16,21,25,20677443,2.47,3.45,2.4,2.13,1.0
16,24,8,23118444,3.51,2.88,7.14,1.5,3.0
16,25,29,23956491,3.23,2.79,3.09,2.62,1.0
16,26,18,24736392,6.56,5.72,5.22,7.37,3.0
16,33,33,30765599,1.0,3.92,4.96,1.0,1.0
16,35,13,32396780,3.88,2.14,1.42,2.54,2.0
16,36,28,33217634,2.85,3.38,3.44,6.69,1.0
16,38,19,34826115,2.86,2.94,3.9,2.4,3.0
17,2,10,3147425,6.09,7.05,5.54,6.06,3.0
17,3,39,4004463,7.1,7.03,5.95,4.01,1.0
17,8,2,7997765,7.26,7.03,5.28,7.31,4.0
17,10,6,9579394,6.9,5.95,5.37,7.14,2.0
17,11,23,10353296,3.62,2.95,5.04,2.92,1.0
17,12,9,11108372,6.04,6.13,5.1,6.24,5.0
17,14,26,12700662,3.73,2.77,5.81,3.73,1.0
17,15,19,13490559,7.27,6.03,5.04,6.1,4.0
17,19,27,16692466,3.96,3.29,5.04,2.62,2.0
17,25,7,22588788,7.08,6.6,5.87,8.13,5.0
17,27,4,24276712,6.35,5.56,5.74,4.04,2.0
